order,former_image_url,new_image_url
1,https://cdn.ashley.com/assets/73611-38-HEAD-ON-SW-P1-KO.jpg?width=1600&height=1600&fit=bounds&quality=90&format=auto,
2,https://cdn.ashley.com/assets/77410-23-HEAD-ON-SW-P1-KO.jpg?width=1600&height=1600&fit=bounds&quality=90&format=auto,
3,https://cdn.ashley.com/assets/73611-64-46-77-46-65-HEAD-ON-SW-P1-KO.jpg?width=1600&height=1600&fit=bounds&quality=90&format=auto,
4,https://cdn.ashley.com/assets/U12500-58-46-62-HEAD-ON-SW-P1-KO.jpg?width=1600&height=1600&fit=bounds&quality=90&format=auto,
5,https://cdn.ashley.com/assets/77410-38-HEAD-ON-SW-P1-KO.jpg?width=1600&height=1600&fit=bounds&quality=90&format=auto,
6,https://cdn.ashley.com/assets/T954-8-ANGLE-SW-P1-KO.jpg?width=1600&height=1600&fit=bounds&quality=90&format=auto,
7,https://cdn.ashley.com/assets/73609-23-HEAD-ON-SW-P1-KO.jpg?width=1600&height=1600&fit=bounds&quality=90&format=auto,
8,https://cdn.ashley.com/assets/T961-8-SW-P1-KO.jpg?width=1600&height=1600&fit=bounds&quality=90&format=auto,
9,https://cdn.ashley.com/assets/A600085103_1.jpg?width=1600&height=1600&fit=bounds&quality=90&format=auto,
10,https://cdn.ashley.com/assets/77410-64-46-77-46-65-HEAD-ON-SW-P1-KO.jpg?width=1600&height=1600&fit=bounds&quality=90&format=auto,
11,https://cdn.ashley.com/assets/A600085087_1.jpg?width=1600&height=1600&fit=bounds&quality=90&format=auto,
12,https://cdn.ashley.com/assets/73610-16-46-65-HEAD-ON-SW-P1-KO.jpg?width=1600&height=1600&fit=bounds&quality=90&format=auto,
13,https://cdn.ashley.com/assets/U12500-58-62-HEAD-ON-SW-P1-KO.jpg?width=1600&height=1600&fit=bounds&quality=90&format=auto,
14,https://cdn.ashley.com/assets/T961-6-SW-P1-KO.jpg?width=1600&height=1600&fit=bounds&quality=90&format=auto,
15,https://cdn.ashley.com/assets/73609-16-46(2)-17-HEAD-ON-SW-P1-KO.jpg?width=1600&height=1600&fit=bounds&quality=90&format=auto,
16,https://cdn.ashley.com/assets/T985-1-ANGLE-SW-P1-KO.jpg?width=1600&height=1600&fit=bounds&quality=90&format=auto,
17,https://cdn.ashley.com/assets/T954-2-HEAD-ON-SW-P1-KO.jpg?width=1600&height=1600&fit=bounds&quality=90&format=auto,
18,https://cdn.ashley.com/assets/73609-14-HEAD-ON-SW-P1-KO.jpg?width=1600&height=1600&fit=bounds&quality=90&format=auto,
19,https://cdn.ashley.com/assets/A600085092_1.jpg?width=1600&height=1600&fit=bounds&quality=90&format=auto,
20,https://cdn.ashley.com/assets/77410-64-46-65-HEAD-ON-SW-P1-KO.jpg?width=1600&height=1600&fit=bounds&quality=90&format=auto,
21,https://cdn.ashley.com/assets/73609-35-HEAD-ON-SW-P1-KO.jpg?width=1600&height=1600&fit=bounds&quality=90&format=auto,
22,https://cdn.ashley.com/assets/A600085101_1.jpg?width=1600&height=1600&fit=bounds&quality=90&format=auto,
23,https://cdn.ashley.com/assets/73609-64-46-65-HEAD-ON-SW-P1-KO.jpg?width=1600&height=1600&fit=bounds&quality=90&format=auto,
24,https://cdn.ashley.com/assets/A6085097A1_1.jpg?width=1600&height=1600&fit=bounds&quality=90&format=auto,
