order,former_image_url,new_image_url
1,https://www.but.fr/fstrz/r/s/media.but.fr/images_produits/produit-list/4894223239110_F.jpg,
2,https://www.but.fr/fstrz/r/s/media.but.fr/images_produits/produit-list/8690842630934_F.jpg,
3,https://www.but.fr/fstrz/r/s/media.but.fr/images_produits/produit-list/4894223239066_Q.jpg,
4,https://www.but.fr/fstrz/r/s/media.but.fr/images_produits/produit-list/6921727084194_Q.jpg,
5,https://www.but.fr/fstrz/r/s/media.but.fr/images_produits/produit-list/4894223241472_F.jpg,
6,https://www.but.fr/fstrz/r/s/media.but.fr/images_produits/produit-list/8806095769325_Q.jpg,
7,https://www.but.fr/fstrz/r/s/media.but.fr/images_produits/produit-list/6921727094643_Q.jpg,
8,https://media.but.fr/images_produits/produit-list/8050147722251_Q.jpg,
9,https://media.but.fr/images_produits/produit-list/8690842782442_Q.jpg,
10,https://media.but.fr/images_produits/produit-list/4242005433056_Q.jpg,
11,https://media.but.fr/images_produits/produit-list/6901018082481_Q.jpg,
12,https://media.but.fr/images_produits/produit-list/6921727081575_Q.jpg,
