order,former_image_url,new_image_url
1,https://fr.shopping.rakuten.com/pictures/0199762e-91bc-79a3-b6d1-e1be7ae51fe2_L_NOPAD.jpg,
2,https://fr.shopping.rakuten.com/pictures/0199af6f-121d-7831-802c-5e81b66b51f5_L_NOPAD.jpg,
3,https://fr.shopping.rakuten.com/pictures/0199b223-568a-7020-b448-5efb59337edc_L_NOPAD.jpg,
4,https://fr.shopping.rakuten.com/pictures/0197fcec-c93c-7f9b-9bf9-b3289d25a432_L_NOPAD.jpg,
5,https://fr.shopping.rakuten.com/pictures/0199af6d-d1d2-74ff-820f-36a9be817a66_L_NOPAD.jpg,
6,https://fr.shopping.rakuten.com/pictures/01949277-43e9-72b4-81f9-155c74d294d5_L_NOPAD.jpg,
7,https://fr.shopping.rakuten.com/pictures/0199c2ee-3f03-79e7-990b-4fcd1a16f977_L_NOPAD.jpg,
8,https://fr.shopping.rakuten.com/pictures/0199d43f-cf91-7505-8d9b-fdea45e37634_L_NOPAD.jpg,
9,https://fr.shopping.rakuten.com/pictures/0199b167-c0df-731c-a920-3a01febd8bea_L_NOPAD.jpg,
10,https://fr.shopping.rakuten.com/pictures/0198be96-6155-7ff4-9584-09cc04ac8d35_L_NOPAD.jpg,
11,https://fr.shopping.rakuten.com/pictures/0199b185-9884-740a-b847-8e76bc67bf18_L_NOPAD.jpg,
12,https://fr.shopping.rakuten.com/pictures/0199a2e8-2bf4-7bf9-920d-9759868615a5_L_NOPAD.jpg,
13,https://fr.shopping.rakuten.com/pictures/019983a0-33e6-7a08-99f9-9de3c7b75481_L_NOPAD.jpg,
14,https://fr.shopping.rakuten.com/pictures/0199ad06-f687-7eed-b987-11a8c89b96fd_L_NOPAD.jpg,
15,https://fr.shopping.rakuten.com/pictures/0199b998-480d-7399-a14d-35962d36da55_L_NOPAD.jpg,
16,https://fr.shopping.rakuten.com/pictures/0199b7d5-b3be-7a93-b083-6eb5392dfe7f_L_NOPAD.jpg,
17,https://fr.shopping.rakuten.com/pictures/01995eb4-1dfa-7562-9da4-a4cad1a1e1f3_L_NOPAD.jpg,
18,https://fr.shopping.rakuten.com/pictures/0199a2cf-4378-7e3f-9598-9e2849603ef6_L_NOPAD.jpg,
19,https://fr.shopping.rakuten.com/pictures/01999998-33ba-7854-8a28-21bd58a16352_L_NOPAD.jpg,
20,https://fr.shopping.rakuten.com/pictures/0199c73d-3596-7997-8d3e-5e6f552f4c31_L_NOPAD.jpg,
21,https://fr.shopping.rakuten.com/pictures/0199ba56-d13f-7f38-8273-8c0d9a38508c_L_NOPAD.jpg,
22,https://fr.shopping.rakuten.com/pictures/0199b181-02f9-7d48-8a01-80744ea8bf49_L_NOPAD.jpg,
23,https://fr.shopping.rakuten.com/pictures/0199906f-3780-7846-b1ec-287bc8f1a730_L_NOPAD.jpg,
24,https://fr.shopping.rakuten.com/pictures/0199693b-0975-7163-afbc-7369d3038c26_L_NOPAD.jpg,
25,https://fr.shopping.rakuten.com/pictures/0199b167-5947-74ed-9f0b-2b2f89d35a0e_L_NOPAD.jpg,
26,https://fr.shopping.rakuten.com/pictures/019960e6-89fd-79ea-8dc6-10ac459f4a2f_L_NOPAD.jpg,
27,https://fr.shopping.rakuten.com/pictures/0199b223-f970-7116-818f-969ad509e194_L_NOPAD.jpg,
28,https://fr.shopping.rakuten.com/pictures/01995905-be57-7e47-90dc-7c7ebcbb49f5_L_NOPAD.jpg,
29,https://fr.shopping.rakuten.com/pictures/0199af6d-d5f8-7da7-92fb-feb0092f09cf_L_NOPAD.jpg,
30,https://fr.shopping.rakuten.com/pictures/0194c298-f755-7fb8-ab95-fa23cef0ce1f_L_NOPAD.jpg,
31,https://fr.shopping.rakuten.com/pictures/01964725-f21a-7c6d-a6bb-106f8086ded5_L_NOPAD.jpg,
32,https://fr.shopping.rakuten.com/pictures/01995cee-8519-72eb-8cbe-681a23f2f4e9_L_NOPAD.jpg,
33,https://fr.shopping.rakuten.com/pictures/0199b223-485d-726b-aa91-fccf7de64cba_L_NOPAD.jpg,
34,https://fr.shopping.rakuten.com/pictures/0199c020-b15e-75d8-a193-555d49eeb36b_L_NOPAD.jpg,
35,https://fr.shopping.rakuten.com/pictures/0199c183-feb5-71a3-8dc5-1e3847ef9b78_L_NOPAD.jpg,
36,https://fr.shopping.rakuten.com/pictures/01997c2e-296e-7e39-915d-4c6cde7af945_L_NOPAD.jpg,
37,https://fr.shopping.rakuten.com/pictures/01998ab5-098f-7dd4-bae7-05f755407636_L_NOPAD.jpg,
38,https://fr.shopping.rakuten.com/pictures/01995917-01ff-7755-9f42-9e52d1c393a3_L_NOPAD.jpg,
39,https://fr.shopping.rakuten.com/pictures/01969ae3-1d06-7641-9ff3-790d6f8c0a76_L_NOPAD.jpg,
40,https://fr.shopping.rakuten.com/pictures/0199c21d-77c7-77ee-8809-b183e9cf3347_L_NOPAD.jpg,
41,https://fr.shopping.rakuten.com/pictures/01996530-c233-7f5d-84c3-a00141102312_L_NOPAD.jpg,
42,https://fr.shopping.rakuten.com/pictures/0199bedc-a3e9-745a-a5b7-caa2347585dd_L_NOPAD.jpg,
43,https://fr.shopping.rakuten.com/pictures/0199b182-ec88-70cb-a7d4-5eaee3630dbb_L_NOPAD.jpg,
44,https://fr.shopping.rakuten.com/pictures/01999a25-02b1-77eb-91db-9ef2855979c4_L_NOPAD.jpg,
