order,former_image_url,new_image_url
1,https://assets.wsimgs.com/wsimgs/rk/images/dp/wcm/202552/0013/img67c.jpg,
2,https://assets.wsimgs.com/wsimgs/rk/images/dp/wcm/202611/0468/le-creuset-signature-enameled-cast-iron-round-dutch-oven-1-c.jpg,
3,https://assets.wsimgs.com/wsimgs/rk/images/dp/wcm/202601/0095/staub-enameled-cast-iron-round-dutch-oven-c.jpg,
4,https://assets.wsimgs.com/wsimgs/rk/images/dp/wcm/202614/0221/le-creuset-signature-enameled-cast-iron-round-dutch-oven-1-c.jpg,
5,https://assets.wsimgs.com/wsimgs/rk/images/dp/wcm/202610/0333/staub-enameled-cast-iron-round-dutch-oven-c.jpg,
6,https://assets.wsimgs.com/wsimgs/rk/images/dp/wcm/202613/0683/le-creuset-signature-enameled-cast-iron-deep-round-oven-6--c.jpg,
7,https://assets.wsimgs.com/wsimgs/rk/images/dp/wcm/202611/0469/le-creuset-signature-enameled-cast-iron-round-dutch-oven-2-c.jpg,
8,https://assets.wsimgs.com/wsimgs/rk/images/dp/wcm/202614/0281/staub-enameled-cast-iron-essential-french-oven-c.jpg,
9,https://assets.wsimgs.com/wsimgs/rk/images/dp/wcm/202607/0410/le-creuset-signature-enameled-cast-iron-deep-round-oven-6--c.jpg,
10,https://assets.wsimgs.com/wsimgs/rk/images/dp/wcm/202611/0469/le-creuset-signature-enameled-cast-iron-round-dutch-oven-c.jpg,
11,https://assets.wsimgs.com/wsimgs/rk/images/dp/wcm/202550/0336/staub-enameled-cast-iron-essential-french-oven-c.jpg,
12,https://assets.wsimgs.com/wsimgs/rk/images/dp/wcm/202611/0463/le-creuset-signature-enameled-cast-iron-deep-round-oven-6--c.jpg,
13,https://assets.wsimgs.com/wsimgs/rk/images/dp/wcm/202611/0469/le-creuset-signature-enameled-cast-iron-round-dutch-oven-1-c.jpg,
14,https://assets.wsimgs.com/wsimgs/rk/images/dp/wcm/202610/0333/staub-enameled-cast-iron-round-dutch-oven-1-c.jpg,
15,https://assets.wsimgs.com/wsimgs/rk/images/dp/wcm/202607/0411/le-creuset-signature-enameled-cast-iron-deep-round-oven-6--c.jpg,
